risk_grade,purpose,accounts,matured_accounts,exposure,avg_pd,observed_bad_accounts,observed_bad_rate_matured,expected_loss,exposure_share,el_share,data_layer,data_status,source_project,source_version,claim_boundary,as_of_period
C - Watch,wedding,472,471,4735775.0,0.18194787023338257,66,0.14012738853503184,347561.9562854179,0.00024388961472943048,0.00022715913659315418,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Segment outcomes use matured denominator,ALL
A - Low,moving,966,878,10223875.0,0.08523193182731728,104,0.11845102505694761,256299.15232735753,0.0005265235225051562,0.00016751169999868742,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Segment outcomes use matured denominator,ALL
A - Low,vacation,1224,1108,10074825.0,0.08523193182731728,136,0.12274368231046931,253201.31253316184,0.0005188475355599526,0.00016548701749179208,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Segment outcomes use matured denominator,ALL
E - Very High,renewable_energy,202,197,1725300.0,0.3054518827754167,67,0.3401015228426396,233000.47157200292,8.885193073840848e-05,0.00015228417550000587,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Segment outcomes use matured denominator,ALL
D - High,renewable_energy,242,231,2272275.0,0.2278985403313096,59,0.2554112554112554,220631.78248974666,0.0001170208201000505,0.00014420026216627147,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Segment outcomes use matured denominator,ALL
A - Low,wedding,596,595,7246575.0,0.08523193182731727,53,0.08907563025210084,187799.52719672,0.00037319433141522196,0.00012274179517961047,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Segment outcomes use matured denominator,ALL
E - Very High,wedding,137,137,1288375.0,0.27831079823364413,35,0.25547445255474455,157987.82626611437,6.63505513621382e-05,0.00010325749857780247,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Segment outcomes use matured denominator,ALL
C - Watch,renewable_energy,201,195,1999800.0,0.1819329056698088,42,0.2153846153846154,139667.86890002343,0.00010298851857107128,9.128396228464399e-05,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Segment outcomes use matured denominator,ALL
B - Moderate,renewable_energy,175,167,1778750.0,0.13799830446693304,36,0.2155688622754491,85211.98143024716,9.160457416156268e-05,5.5692747088784155e-05,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Segment outcomes use matured denominator,ALL
D - High,educational,96,96,566050.0,0.2302595012451473,25,0.2604166666666667,56142.24859420595,2.9151240592636714e-05,3.669338512580214e-05,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Segment outcomes use matured denominator,ALL
C - Watch,educational,110,110,626625.0,0.18325609714360788,23,0.20909090909090908,43590.81612685554,3.227081730652942e-05,2.8490034584325678e-05,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Segment outcomes use matured denominator,ALL
A - Low,renewable_energy,116,108,1587925.0,0.08523193182731731,12,0.1111111111111111,39847.0361443846,8.177719939592378e-05,2.6043179245203185e-05,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Segment outcomes use matured denominator,ALL
B - Moderate,educational,100,100,719175.0,0.13722061340011693,12,0.12,34428.399108068326,3.703708763043814e-05,2.250167279312624e-05,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Segment outcomes use matured denominator,ALL
E - Very High,educational,31,31,146075.0,0.30417658556642596,15,0.4838709677419355,19947.99486345398,7.5227762027548945e-06,1.3037587135186107e-05,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Segment outcomes use matured denominator,ALL
A - Low,educational,86,86,740675.0,0.08523193182731725,13,0.1511627906976744,18953.621303963344,3.814432492880699e-05,1.2387685628015798e-05,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Segment outcomes use matured denominator,ALL
